, revenue,Adult,Genre ID,IMDB ID,Movie,Popularity,Release date,original language,run budget,run time,vote average,vote_count,sentiment_score
50,110803676,FALSE,"[28, 12, 35]",6519,The Dukes of Hazzard,11.685344,8/5/2005,en,50000000,104,5.1,348,-0.133761538
51,17000000,FALSE,"[878, 28]",416149,The Perfect Weapon,5.920854,9/9/2016,en,8000000,88,3.9,18,-0.306933333
52,12484444,FALSE,"[28, 80, 18, 53]",10711,French Connection II,6.308552,5/18/1975,en,0,119,6.6,101,0.004
53,64822796,FALSE,"[53, 80, 18]",8848,The Bank Job,7.672312,2/28/2008,en,20000000,112,6.6,746,0
54,72266306,FALSE,"[28, 18, 53]",11951,Vanishing Point,6.67434,1/15/1971,en,1300000,99,7.2,117,0.2767
55,36850101,FALSE,"[35, 18, 10751, 878]",9849,My Favorite Martian,5.960053,2/11/1999,en,65000000,94,5.1,84,0.041547619
56,20710451,FALSE,"[18, 36]",10264,Hamlet,8.931482,12/19/1990,en,0,130,6.7,104,-0.075080357
57,5446000,FALSE,"[12, 18]",77221,Black Gold,10.547137,12/21/2011,en,40000000,130,5.9,85,0
58,242717113,FALSE,"[35, 10751]",14306,Marley & Me,9.975104,12/25/2008,en,60000000,115,6.9,1483,0
59,12000000,FALSE,"[10402, 35, 10749]",759,Gentlemen Prefer Blondes,6.991105,7/14/1953,en,0,91,7.1,183,0
60,30411183,FALSE,[35],10591,The Girl Next Door,9.527545,4/9/2004,en,25000000,108,6.3,912,0
61,103738726,FALSE,"[12, 28, 35, 53, 80]",8592,Dick Tracy,5.674841,6/15/1990,en,47000000,103,6,275,-0.125483333
62,60378584,FALSE,"[80, 18]",504,Monster,6.190862,11/16/2003,en,8000000,110,7,548,0.003942857
63,75597042,FALSE,"[18, 10751]",14635,The Rookie,8.7278,3/25/2002,en,20000000,127,6.5,120,0.589966667
64,21300000,FALSE,"[18, 10402, 10749]",16520,The King and I,8.263556,6/29/1956,en,4550000,133,7.3,109,0.328166667
65,44785053,FALSE,[18],3116,Midnight Cowboy,9.052681,5/25/1969,en,3600000,113,7.5,333,0
66,1752038,FALSE,[35],10078,Magicians,6.355778,5/18/2007,en,0,90,6.2,25,0
67,31720158,FALSE,[18],17332,The Soloist,6.510224,4/24/2009,en,60000000,109,6.6,255,-0.085
68,60641,FALSE,"[18, 35, 53]",2239,Hallam Foe,5.609041,2/16/2007,en,8000000,95,6.8,52,0
69,89162162,FALSE,"[14, 53, 27]",49730,Red Riding Hood,9.244878,3/11/2011,en,42000000,100,5.7,1043,0.459625
70,1893139,FALSE,[18],51321,Permanent Record,2.061315,4/22/1988,en,8000000,91,6,11,-0.330333333
71,4900000,FALSE,"[18, 10769]",60579,Hey Ram,1.439164,2/18/2000,ta,3900000,199,6.7,10,0.39115
