Movie,IMDB ID,Genre ID,Popularity,Release date,Adult,original language,vote_count,vote average,run time,run budget, revenue,Na•ve Bayes Polarity Scores
They All Laughed,31921,"[18, 35, 53, 9648, 10749]",2.769855,1/1/81,FALSE,en,11,5.5,115,0,0,-1.16882E-05
Dead Babies,42391,[53],1.827381,9/7/00,FALSE,en,3,4.3,101,0,0,-2.61423E-05
The Celestine Prophecy,18524,"[10749, 18, 12]",3.289517,6/1/06,FALSE,en,16,4.8,99,10000000,615752,-2.15796E-05
Rain in the Mountains,46355,"[35, 18]",1.039187,1/1/07,FALSE,en,1,4,91,0,0,-2.04317E-05
Summer Heat,215865,[],1.129237,3/8/06,FALSE,en,1,5,0,0,0,-1.36741E-05
Proud,37694,[18],1.11488,7/2/04,FALSE,en,3,5.5,87,0,0,-1.80343E-05
Auggie Rose,113213,"[18, 9648, 53]",1.990536,5/14/00,FALSE,en,4,6.5,109,0,0,-9.99027E-06
Sleepwalkers,11428,"[14, 27, 53]",7.090693,4/10/92,FALSE,en,105,4.9,91,0,30524763,7.12648E-06
Mr. Moto Takes a Vacation,59657,"[28, 80, 18, 9648, 53]",1.615168,7/7/39,FALSE,en,4,6.1,65,0,0,5.1644E-06
Dan in Real Life,7211,"[35, 10749, 18]",7.7517,10/26/07,FALSE,en,387,6.6,98,25000000,68377859,1.36353E-05
The Nostril Picker,126793,"[35, 27]",1.149576,1/1/88,FALSE,en,3,5.3,77,0,0,-1.81954E-05
Alice in Wonderland,12092,"[16, 10751, 14]",13.784223,7/3/51,FALSE,en,1686,7,75,3000000,572000000,-7.04621E-06
Maybe Logic: The Lives and Ideas of Robert Anton Wilson,33672,[99],1.29885,7/23/03,FALSE,en,4,6,82,0,0,-1.51781E-05
Metallica: Cunning Stunts,40504,[10402],1.449051,12/8/98,FALSE,en,6,6,130,0,0,-2.04219E-05
Decoy,24623,[28],2.21268,1/1/95,FALSE,en,2,4,98,4000000,0,-4.39226E-05
Pit Fighter,35631,"[18, 28, 53]",2.402058,7/6/05,FALSE,en,4,5.3,83,0,0,-3.61318E-05
Reveille with Beverly,100834,"[35, 10402, 10749]",1.514758,2/4/43,FALSE,en,0,0,78,0,0,-4.18919E-06
Stuart Little,10137,"[16, 14, 10751, 35]",8.888607,12/17/99,FALSE,en,1125,5.8,84,133000000,300135367,-1.40038E-05
Impulse,14806,"[9648, 53]",2.913005,4/15/08,FALSE,en,12,5.1,101,2000000,0,-1.98582E-05
The Bubble,15976,"[18, 10749]",3.467256,6/6/06,FALSE,he,22,7.6,114,0,0,1.45783E-05
Evil Aliens,10177,"[35, 27, 878]",3.362072,3/10/06,FALSE,en,43,6,93,500000,0,-3.09313E-05
The Half Naked Truth,97657,"[35, 10749]",1.291399,12/16/32,FALSE,en,3,6.8,77,0,0,-1.95768E-05
Georgia Rule,13159,"[35, 18, 10749]",6.851257,5/11/07,FALSE,en,136,5.6,113,20000000,0,-1.07019E-05
