Movie,IMDB ID,Genre ID,Popularity,Release date,Adult,original language,vote_count,vote average,run time,run budget, revenue,Na•ve Bayes Polarity Scores
Breezy,40374,"[18, 10749]",3.010422,11/18/73,FALSE,en,35,7.3,108,0,0,-1.1228E-05
Gamers,14339,[35],1.685329,1/1/06,FALSE,en,1,3.5,84,0,0,-3.45522E-05
A Man Betrayed,26321,[9648],2.318008,3/7/41,FALSE,en,4,5.6,82,0,0,-1.34418E-05
Crush,183662,[53],6.900716,3/13/13,FALSE,en,93,5.8,94,0,0,2.45894E-05
The Power of Fear,75393,[27],1.789633,6/6/06,FALSE,en,6,3.4,79,0,0,-1.1343E-05
A Double Life,41206,"[18, 53, 80]",2.371094,12/25/47,FALSE,en,14,7,104,0,0,-6.39375E-07
Severed Ties,86687,"[35, 27]",1.753099,9/2/92,FALSE,en,3,4.7,92,0,0,-2.23598E-05
Rock 'n' Roll High School,26326,"[35, 10402]",3.943748,8/24/79,FALSE,en,44,6.7,93,300000,0,-4.88793E-05
New Port South,94947,"[18, 10751]",1.206149,9/7/01,FALSE,en,1,6,95,0,0,-2.03605E-05
A Man's Gotta Do,39431,[35],1.104917,7/8/04,FALSE,en,0,0,93,0,0,-1.02269E-05
Heart of a Dog,352197,"[99, 18]",2.280851,10/21/15,FALSE,en,12,6.6,75,0,0,-8.5277E-06
The Norliss Tapes,68133,"[27, 10770, 53]",1.536619,2/21/73,FALSE,en,6,5.8,72,0,0,-5.58754E-06
Carter's Army,22739,"[28, 18, 53, 10770, 10752]",1.401139,1/27/70,FALSE,en,3,6.2,70,0,0,-5.24966E-06
Dhol,19418,[35],1.916915,9/14/07,FALSE,hi,10,6.3,145,0,0,-1.72069E-05
Running with Scissors,7510,"[18, 35]",5.17328,10/27/06,FALSE,en,83,5.8,116,12000000,6754898,-1.75911E-05
Shikari,417093,"[28, 18, 10749]",1.70093,7/7/16,FALSE,en,2,7,145,0,0,-5.32894E-05
The Last Hard Men,38450,[37],2.708222,4/22/76,FALSE,en,14,6.6,98,0,0,1.02328E-05
Blood of the Werewolf,27682,[27],1.001648,1/1/01,FALSE,en,0,0,82,0,0,-2.19822E-05
In the Border States,189586,"[18, 10752]",1.157107,6/13/10,FALSE,en,3,5.3,16,0,0,5.81785E-06
Godzilla vs. King Ghidorah,36679,"[28, 12, 878, 18, 14, 27]",3.354124,12/14/91,FALSE,ja,30,6.1,103,0,0,-1.35766E-05
Kahpe Bizans,33901,[35],1.52088,1/21/00,FALSE,en,6,4.8,0,0,0,-4.83642E-05
Nightmare Weekend,119592,"[27, 878]",1.724485,1/1/86,FALSE,en,4,1.5,86,0,0,-3.16157E-05
Under Surveillance,260824,"[27, 9648]",1.007713,10/1/06,FALSE,en,0,0,89,31,0,-9.82249E-06
Headhunter,20458,[53],2.781584,8/28/09,FALSE,da,17,5.9,102,0,0,-3.69657E-05
Norman... Is That You?,91722,"[35, 18]",1.116379,9/29/76,FALSE,en,3,5.8,91,0,0,6.86659E-06
Starlift,171130,[10402],2.213666,12/14/51,FALSE,en,2,5.8,103,0,0,1.32903E-05
Vigilante Force,93018,"[28, 18, 80, 12]",1.745186,9/9/76,FALSE,en,6,5.5,89,0,0,1.21735E-05
The Double-D Avenger,94740,"[28, 35]",1.003723,9/17/01,FALSE,en,0,0,77,0,0,-1.24529E-05
Dragon Wars: D-War,10253,"[14, 18, 27, 28, 53, 878]",6.026141,2/8/07,FALSE,ko,106,4,90,70000000,53587404,8.14098E-07
Tarzan the Ape Man,26845,"[28, 12]",5.240455,4/2/32,FALSE,en,44,6.5,100,0,0,-2.5819E-05
The Death of Ocean View Park,259572,"[28, 53]",1.01426,10/19/79,FALSE,en,0,0,100,0,0,-1.50529E-06
Darkman III: Die Darkman Die,19002,"[28, 53, 878]",3.580225,8/20/96,FALSE,en,33,4,87,0,0,-2.14382E-05
The Piano Teacher,1791,"[18, 10749]",7.252297,5/14/01,FALSE,fr,210,7.2,131,3000000,9801375,-1.27563E-05
The Mind's Eye,336265,"[28, 27, 878]",2.53427,8/5/15,FALSE,en,27,5.1,87,0,0,2.35747E-05
Cry Terror!,4926,[53],4.304555,5/2/58,FALSE,en,5,4.8,96,0,0,-8.75687E-06
The Boss' Wife,67541,[35],1.341016,1/1/86,FALSE,en,3,6,83,0,0,-7.12853E-05
The Domino Principle,32029,"[18, 80]",1.935277,3/23/77,FALSE,en,9,5.2,100,0,0,-2.30857E-05
Rain Without Thunder,200450,[],1.76663,2/5/93,FALSE,en,1,5,85,0,0,-3.49407E-05
Salaam-E-Ishq,25869,"[18, 10769, 10749]",2.675028,1/25/07,FALSE,hi,16,5.8,216,0,0,-1.41578E-05
Night of the Comet,18462,"[35, 27, 878]",5.869497,11/16/84,FALSE,en,98,6.1,95,3000000,14418922,-3.45958E-05
Curly Sue,11894,"[35, 18, 10751, 10749]",8.841897,10/24/91,FALSE,en,115,5.5,101,0,0,2.34001E-05
Dr. Jekyll and Mr. Hyde,3019,"[27, 878]",4.59255,12/31/31,FALSE,en,63,7.2,98,0,0,-2.10863E-05
Jane and the Lost City,171571,[12],1.376083,9/3/87,FALSE,en,2,2.8,0,0,0,-3.32551E-05
Caught in the Draft,108014,"[35, 10749, 10752]",1.172094,7/4/41,FALSE,en,3,6.3,82,0,0,-9.42374E-07
Evening,6022,"[18, 10749]",3.763685,6/9/07,FALSE,en,51,5.7,130,0,0,1.03428E-05
Broken Arrow,9208,"[28, 12, 18, 53]",7.69462,2/9/96,FALSE,en,474,5.7,108,50000000,150270147,-1.24879E-05
Gardens of the Night,16867,"[80, 18]",3.746802,11/21/08,FALSE,en,29,6.5,110,0,0,-1.3215E-05
Intensive Care,339482,[],1.843386,11/9/82,FALSE,en,0,0,80,0,0,-2.47246E-05
The House on Carroll Street,75889,[18],2.149839,3/4/88,FALSE,en,8,5.4,101,0,0,-6.42194E-06
Slaughter High,27886,[27],3.352398,11/14/86,FALSE,en,29,6.1,90,0,0,-1.93353E-05
Bullwhip,141669,[37],1.726846,5/25/58,FALSE,en,6,3.8,80,0,0,-1.03661E-05
Blood on the Moon,29966,"[28, 37, 18]",2.978562,11/9/48,FALSE,en,17,5.8,88,0,88,-3.77999E-06
Kroko,11189,[18],1.356101,10/1/03,FALSE,de,2,4.3,92,0,0,-1.08138E-05
Little Chenier,77969,[18],1.171324,2/29/08,FALSE,en,1,10,120,1800000,0,-1.33968E-05
Invitation to Hell,81009,"[27, 9648, 878]",1.295361,5/24/84,FALSE,en,3,4.8,96,0,0,1.94377E-05
Blue Juice,18762,"[35, 10749]",3.201608,9/15/95,FALSE,en,13,3.6,90,0,0,-1.94615E-05
The Dorm That Dripped Blood,54132,"[27, 9648, 53]",1.434433,4/2/82,FALSE,en,10,5.2,88,0,0,-8.69238E-06
Maiden Voyage,25439,"[10770, 28]",2.02654,1/1/05,FALSE,en,4,3.5,0,0,0,-2.45804E-05
To Sleep with a Vampire,53149,"[18, 27, 10749, 53]",1.386781,1/28/93,FALSE,en,2,5.3,81,0,0,-4.59726E-05
Return to the Lost World,50808,"[28, 14, 27, 878]",1.29085,4/7/92,FALSE,en,3,6.3,95,0,0,-2.3234E-05
Beretta's Island,5128,"[28, 80]",1.534366,5/5/94,FALSE,en,4,2.8,90,0,0,-5.35716E-05
Punk Rock Holocaust,128191,"[27, 10402]",1.631518,10/31/04,FALSE,en,1,3,95,0,0,-1.74337E-05
Chronos,18493,[99],2.940294,5/10/85,FALSE,en,21,7.5,43,0,0,-1.86639E-05
The Shoes of the Fisherman,17665,[18],2.222247,1/1/68,FALSE,en,11,6.2,156,0,0,-4.04841E-06
Pufnstuf,63859,"[35, 10751, 14, 10402]",1.580778,5/3/70,FALSE,en,7,7.4,94,0,0,2.2336E-05
Just Looking,100975,"[18, 35]",1.508523,10/21/99,FALSE,en,5,5.8,97,3000000,0,-8.95181E-06
Return to Cabin by the Lake,30781,"[9648, 27, 53]",1.534106,8/14/01,FALSE,en,7,4.1,89,0,0,1.32064E-06
Chocolat,392,"[35, 18, 10749]",8.141895,12/14/00,FALSE,en,1057,6.8,121,25000000,152500343,2.04088E-05
Halla Bol,23848,"[18, 10769]",1.74622,1/11/08,FALSE,hi,6,5.3,150,0,0,-1.3554E-05
Jane Eyre,38684,"[18, 10749]",6.145302,3/11/11,FALSE,en,469,7,120,0,34710627,-6.86429E-06
The Oklahoma Kid,39459,"[37, 36]",1.804362,3/11/39,FALSE,en,5,5.7,85,0,0,-1.96078E-05
Herbie Fully Loaded,11451,"[35, 10751, 12, 14, 10749]",8.35774,6/22/05,FALSE,en,607,5.1,101,50000000,66002004,-1.49974E-05
Sleuth,993,"[9648, 53]",7.631181,12/10/72,FALSE,en,163,7.5,138,0,0,-1.28469E-05
Gospel of Deceit,127825,[],1.170309,4/28/06,FALSE,en,2,5,0,0,0,-2.18473E-05
The House That Dripped Blood,39261,"[27, 9648]",2.322241,6/16/71,FALSE,en,27,6.3,102,0,0,1.30383E-05
The Peterville Diamond,175967,[35],1.054158,1/11/43,FALSE,en,1,6,85,0,0,-1.2674E-05
Game of Death II,48773,"[18, 28]",2.422745,3/21/81,FALSE,cn,25,4.9,96,0,0,-1.1588E-05
To Paris with Love,59141,"[18, 10749, 35]",1.883428,1/1/55,FALSE,it,1,4,78,0,0,-4.32257E-06
13 Gantry Row,173795,[],1.401191,1/9/98,FALSE,en,0,0,90,0,0,1.37907E-05
Slackers,20009,"[35, 10749]",8.857715,2/1/02,FALSE,en,61,5.4,86,14000000,6413915,-3.12174E-05
McBain,27350,[28],2.740334,9/20/91,FALSE,en,8,4.3,107,0,0,-1.9261E-06
An American in Paris,2769,"[18, 35, 10402, 10749]",9.844808,8/8/51,FALSE,en,140,6.9,113,2723903,4500000,2.71459E-05
Tank,21871,"[28, 12, 35, 18, 53]",3.020277,3/16/84,FALSE,en,23,5.8,113,0,14134877,-4.40842E-05
The Mad Magician,28363,"[27, 53, 9648]",2.31667,5/19/54,FALSE,en,13,7.1,72,0,0,1.08432E-05
Planet Raptor,27896,[878],1.561469,8/8/07,FALSE,en,3,2,87,0,0,-2.56247E-05
Sister Mary Explains It All,173670,"[35, 18]",1.627871,5/27/01,FALSE,en,1,5,77,0,0,-3.09187E-05
Live!,25218,[53],5.510861,1/1/07,FALSE,en,49,5.8,96,0,0,-2.22281E-05
Guernsey,62297,[18],1.773809,8/25/05,FALSE,nl,4,5.9,90,0,0,-1.31378E-05
The Queen's Sister,168801,"[10770, 35, 18, 36]",1.215977,11/26/05,FALSE,en,1,7,96,0,0,-1.81571E-05
Roadie,21024,"[35, 10402]",2.142141,6/13/80,FALSE,en,12,6.8,106,0,0,-3.0586E-05
Soft for Digging,41560,"[27, 18, 53]",1.10052,7/1/01,FALSE,en,2,7.5,74,0,0,-1.53994E-05
Magnolia,334,[18],8.696982,12/8/99,FALSE,en,916,7.5,188,37000000,48451803,-1.89551E-05
The Man Who Cheated Himself,38751,"[18, 53, 80, 9648]",1.718018,12/26/50,FALSE,en,9,5.9,81,0,0,-1.2662E-05
Pollyanna,31102,[12],5.181415,5/19/60,FALSE,en,51,6.9,134,0,0,-4.77138E-05
Homicide,22828,"[18, 80]",4.134099,5/28/91,FALSE,en,34,6.1,102,0,0,-9.63161E-06
Beloved Infidel,109949,"[18, 10749]",1.801006,11/17/59,FALSE,en,6,6.4,123,0,0,-4.86127E-06
Bombardier,62749,"[18, 10752]",1.153022,5/14/43,FALSE,en,3,5.3,99,0,0,1.82576E-06
"Stay Away, Joe",49776,"[28, 35, 18, 10402, 10749, 37]",1.211608,3/8/68,FALSE,en,4,5.8,102,0,0,-3.76334E-05
Un macho de mujer,115127,[35],1.008887,9/20/06,FALSE,en,0,0,140,0,0,-2.15383E-05
The Master Touch,18568,"[53, 10769]",2.067675,12/8/72,FALSE,it,5,6,112,0,0,-8.59638E-07
Cruel Intentions 2,5458,"[18, 10749, 53]",6.930455,11/9/00,FALSE,en,107,4.4,87,0,0,-2.32497E-05
Whipped,23531,"[35, 10749]",2.881621,9/1/00,FALSE,en,11,3.1,82,3000000,0,-2.81057E-05
Into the Blue 2: The Reef,16931,[28],4.039826,4/21/09,FALSE,en,40,5,92,0,0,-1.31881E-05
The City Without Jews,80881,[18],1.200007,7/25/24,FALSE,en,4,6,80,0,0,-1.76935E-05
The Adventures of the American Rabbit,87864,"[16, 14, 878, 10751]",1.141177,1/17/86,FALSE,en,4,6.3,85,0,0,-2.85673E-05
The Lost Treasure of Sawtooth Island,127181,[10751],1.001687,12/1/99,FALSE,en,0,0,92,0,0,-2.96637E-05
The Return of a Man Called Horse,35200,[37],2.2112,6/28/76,FALSE,en,10,5.3,129,0,0,-1.40456E-05
Kiss Me Deadly,18030,"[18, 9648, 53]",5.332157,5/18/55,FALSE,en,88,7.1,106,0,0,-6.16434E-05
Fit to Kill,45029,"[28, 10749, 53]",2.799216,10/27/93,FALSE,en,7,5,97,0,0,-3.58755E-05
The Last Unicorn,10150,"[14, 16, 10751]",7.51276,11/19/82,FALSE,en,125,6.9,92,0,6455530,-2.01712E-05
Via Satellite,134105,[],1.283186,10/15/98,FALSE,en,1,5,90,0,0,4.0029E-05
Lone Wolf and Cub: Baby Cart to Hades,41474,"[18, 28]",3.829391,8/1/72,FALSE,ja,35,6.7,89,0,0,-2.00085E-07
The Razor's Edge,56135,"[18, 10749]",2.525211,11/19/46,FALSE,en,19,6.3,145,0,0,-8.95131E-08
The Lady in Question,56598,"[28, 53]",1.25771,8/7/40,FALSE,en,5,6.8,80,0,0,-8.24097E-06
Perceval,75733,"[10749, 36, 18]",1.407653,2/7/78,FALSE,fr,7,5.9,140,0,0,-1.4753E-05
The Shining,694,"[27, 53]",28.248754,5/22/80,FALSE,en,4344,8.1,144,19000000,44017374,-1.7703E-05
Nobody's Perfect,240478,[99],1.108281,1/1/08,FALSE,en,2,6.5,84,0,0,-4.26895E-05
Phone Call from a Stranger,76229,[18],1.299943,2/1/52,FALSE,en,4,6.3,105,0,0,-3.12996E-06
The '60s,30533,[18],2.411535,2/7/99,FALSE,en,13,5.5,172,0,0,-2.278E-05
White Noise,11804,"[18, 27, 53]",10.79153,1/7/05,FALSE,en,282,5.5,101,10000000,91196419,-1.78061E-05
The Ninja Mission,38902,"[28, 18]",1.08101,6/29/84,FALSE,en,2,6,95,0,0,8.71077E-06
Albino Alligator,8744,"[80, 18, 53]",3.3626,9/9/96,FALSE,en,48,5.6,97,6000000,0,-1.5234E-05
The Killer Elite,31604,"[80, 28]",3.490307,12/19/75,FALSE,en,27,5.8,122,0,0,-1.67484E-05
Titanic,597,"[18, 10749, 53]",28.549703,11/18/97,FALSE,en,8385,7.6,194,200000000,1845034188,8.02011E-06
Rob Roy,11780,[12],10.13323,4/13/95,FALSE,en,165,6.5,139,28000000,31596911,-1.41904E-05
Deathrow Gameshow,73146,"[878, 53, 80, 27, 35]",1.662906,12/4/87,FALSE,en,11,5.8,83,200000,0,-2.22688E-05
Vodka Lemon,56946,"[18, 35, 10749, 10769]",1.410729,11/21/03,FALSE,it,4,8,87,0,0,-2.36714E-06
The Abandoned,345875,"[53, 27, 9648]",4.760369,1/8/16,FALSE,en,69,4.1,86,0,0,-3.03618E-05
Vovochka,150238,[],1.037648,1/1/02,FALSE,en,1,1,0,0,0,3.13425E-06
Escape from Atlantis,265853,"[14, 10751]",1.512443,3/29/97,FALSE,de,2,3.5,0,0,0,-2.17243E-05
Foxes,32020,"[18, 53]",3.937096,2/29/80,FALSE,en,25,5.6,106,0,4400000,2.56853E-05
Good Time Max,15316,[18],2.496831,10/28/08,FALSE,en,12,6.1,79,0,0,-8.31736E-06
Iqbal,21567,"[18, 10769]",2.618471,8/26/05,FALSE,en,21,6.5,150,0,0,-2.80743E-05
Lifepod,19553,"[9648, 878, 53]",1.838204,6/28/93,FALSE,en,7,4.9,89,0,0,2.42217E-06
Superman II: The Richard Donner Cut,429486,"[14, 10749, 28, 12, 878]",3.900233,11/28/06,FALSE,en,44,7.5,116,0,0,-1.51438E-05
Sugar & Spice,16723,"[80, 35]",5.162364,1/24/01,FALSE,en,64,5.8,81,11000000,13276953,-6.27811E-05
Mutiny on the Buses,40570,[35],3.570522,6/2/72,FALSE,en,33,8.2,89,0,0,-1.47767E-05
Memories of Me,107569,"[18, 35]",1.682682,9/28/88,FALSE,en,3,5,103,0,0,-1.00477E-05
The Delicious,406953,[35],1.041531,6/18/03,FALSE,en,0,0,16,0,0,-3.42717E-05
Father and Son,475594,"[10751, 18]",1.089555,4/5/17,FALSE,vi,0,0,90,0,0,-1.55617E-05
McCabe & Mrs. Miller,29005,[37],7.027853,6/24/71,FALSE,en,87,7.3,120,0,0,-1.00282E-05
All Over the Guy,21055,"[35, 10749]",3.019332,3/7/01,FALSE,en,25,5.7,95,0,1051948,-1.49226E-05
Walking Tall Part II,72455,"[28, 12, 18, 80]",1.726468,9/28/75,FALSE,en,11,5.1,109,0,0,4.16333E-06
It's All Gone Pete Tong,12109,"[18, 35, 10402]",3.922852,9/12/04,FALSE,en,55,7.1,90,2000000,120620,-1.07943E-05
The Magic of Lassie,88203,"[18, 12, 28, 10751]",1.041754,8/2/78,FALSE,en,1,6.5,100,0,0,-1.04759E-05
Cracked Nuts,85262,"[35, 10749]",1.073112,4/18/31,FALSE,en,1,8,65,0,0,-4.76736E-06
Transylvania 6-5000,25133,"[35, 27]",3.797438,11/8/85,FALSE,en,26,4.9,93,0,0,-5.86737E-05
The Bonfire of the Vanities,9586,"[35, 18]",8.594463,12/21/90,FALSE,en,121,5.3,125,47000000,15691192,-1.5762E-05
Iberia,102368,[],1.212356,5/11/05,FALSE,en,1,4,120,0,0,-3.53684E-06
I Am Trying to Break Your Heart,14308,"[10402, 99]",1.597394,6/21/02,FALSE,en,4,8,92,0,0,-1.23305E-05
Rudolph and Frosty's Christmas in July,40246,"[16, 14, 10751]",1.885248,7/1/79,FALSE,en,3,7.7,97,0,0,-2.52076E-05
Falling from the Sky: Flight 174,76036,[18],1.454006,10/10/95,FALSE,en,5,4.9,93,0,0,-1.29588E-05
Europa,9065,"[53, 18]",5.264464,5/11/91,FALSE,de,80,7.4,112,0,0,3.75964E-06
The Flag of Humanity,413950,[],1.001346,10/19/40,FALSE,en,0,0,19,0,0,-1.01727E-05
Big City Blues,138341,"[35, 18]",1.877124,9/18/32,FALSE,en,1,7,63,0,0,-1.36953E-05
Ashanti,57926,"[28, 12, 18]",3.725423,3/9/79,FALSE,en,10,5.4,118,0,0,-7.95538E-06
Camille 2000,36446,"[18, 10749]",1.833466,7/15/69,FALSE,en,7,6.9,130,0,0,-4.24543E-06
13 Going on 30,10096,"[35, 14, 10749]",8.345456,4/13/04,FALSE,en,1346,6.2,98,37000000,96455697,-1.93783E-05
"Yes, Giorgio",88451,"[18, 35, 10749, 10769]",1.070085,9/24/82,FALSE,en,1,5,110,19000000,0,1.61505E-05
White Chicks,12153,[35],7.091523,6/23/04,FALSE,en,763,6.4,109,37000000,113086475,-3.26816E-05
Men of Honor,11978,[18],8.448912,9/13/00,FALSE,en,588,7,129,82343495,48814909,-2.82571E-06
Harvie Krumpet,21131,"[16, 35]",4.285418,10/23/03,FALSE,en,54,7,23,0,0,-7.65261E-06
Watership Down,11837,"[12, 16, 18]",5.574031,10/14/78,FALSE,en,180,7.3,88,1000000,3713768,-1.58536E-05
Cold Winter Sun,189361,[18],1.103506,11/22/04,FALSE,es,2,3,104,0,0,-1.26192E-05
I'm Not Rappaport,61536,[35],2.15334,12/24/96,FALSE,en,8,6.2,135,0,0,-1.61233E-05
Marilyn Hotchkiss' Ballroom Dancing & Charm School,53905,"[35, 18, 10749]",2.381401,1/24/06,FALSE,en,12,5.1,103,2500000,0,-5.011E-06
Starlight,163539,[878],1.014914,1/1/96,FALSE,en,0,0,100,0,0,-3.53014E-05
Zombie Nation,25061,"[35, 27]",2.701491,10/5/04,FALSE,en,15,2.3,81,0,0,-2.99394E-05
Vampyres,30885,"[27, 53]",3.082202,1/1/74,FALSE,en,17,4.5,87,0,0,-1.22365E-05
A Shriek in the Night,22689,"[28, 9648, 53]",1.324061,7/22/33,FALSE,en,4,3.5,66,0,0,-7.23855E-06
I Bury the Living,34084,[27],1.432189,7/1/58,FALSE,en,12,6,76,0,0,-2.91188E-05
Creep,250574,"[53, 27]",7.112916,6/23/14,FALSE,en,279,6.1,82,0,0,4.08663E-07
Going Places,429416,[],2.242527,12/31/17,FALSE,en,0,0,0,0,0,-1.91841E-05
Break a Leg,215361,"[35, 18, 53]",1.767334,4/21/05,FALSE,en,1,7,98,0,0,-1.37879E-05
Mickey's House of Villains,22643,"[16, 10751]",5.412176,11/15/01,FALSE,en,45,6.5,70,0,0,-1.13401E-05
Bruce Almighty,310,"[14, 35]",9.867555,5/23/03,FALSE,en,3404,6.5,101,80000000,484572835,1.32723E-05
Purple Butterfly,34561,"[10752, 18, 36]",1.702859,5/22/03,FALSE,zh,3,7.3,127,0,0,-3.11933E-05
Dangerously They Live,71433,"[10752, 18, 53, 10749]",1.2495,12/24/41,FALSE,en,1,6,77,0,0,4.51471E-06
The Mutilation Man,215551,[],1.143496,6/16/98,FALSE,en,1,4,82,0,0,-2.72889E-05
Kiss Kiss Bang Bang,5236,"[28, 35, 80, 9648]",9.765731,9/5/05,FALSE,en,954,7.2,103,15000000,15785148,-1.07148E-05
The Angry Breed,182776,[],1.00294,6/7/68,FALSE,en,0,0,94,0,0,-3.21301E-05
Messiah of Evil,24923,"[9648, 27]",3.264803,1/1/73,FALSE,en,31,6.7,90,0,0,-2.6542E-06
Morvern Callar,18602,[18],3.771229,1/1/02,FALSE,en,36,7.1,97,0,0,-2.07419E-05
Emma,3573,"[35, 18, 10749]",5.703418,8/2/96,FALSE,en,165,6.7,121,6000000,22231658,-1.9006E-05
Tapeheads,25447,"[35, 18]",7.462659,10/21/88,FALSE,en,17,5.4,93,0,343786,-2.03798E-05
Mirror Mirror,62764,"[12, 14, 18, 35, 878, 10751]",9.536227,3/15/12,FALSE,en,1225,5.6,106,85000000,183018522,-1.92508E-05
Mystery Men,9824,"[12, 14, 28, 35, 878]",6.024557,8/6/99,FALSE,en,261,5.7,121,68000000,29762011,1.05703E-05
Against the Law,441996,"[18, 36, 10749]",1.799249,3/16/17,FALSE,en,3,8.7,84,0,0,7.73713E-06
My Super Ex-Girlfriend,4474,"[14, 18, 28, 35, 80, 878]",5.920199,6/20/06,FALSE,en,483,4.8,95,0,60896147,8.58454E-06
The Return of the Soldier,198491,[18],1.446057,6/4/82,FALSE,en,2,6.3,99,0,0,1.64822E-05
The Angel of Pennsylvania Avenue,131102,[],1.402429,12/25/96,FALSE,en,3,3.7,88,0,0,-1.19819E-05
Rhythm on the Range,52019,[37],1.003307,7/1/36,FALSE,en,0,0,87,0,0,4.16139E-05
The Cyclone,38366,"[10749, 18, 35]",4.96322,1/1/96,FALSE,it,146,6.6,91,0,0,-3.44125E-05
The Hurt Locker,12162,"[18, 53, 10752]",9.634247,10/10/08,FALSE,en,1996,7.2,131,15000000,42000000,-1.55233E-05
The Tenant,71112,"[27, 28, 53, 878]",1.787357,8/19/11,FALSE,en,5,2.7,96,0,0,-3.67369E-05
Betsy's Wedding,18913,[35],2.520806,6/22/90,FALSE,en,12,5.3,94,0,19740070,-3.42239E-05
Thunderbirds,14623,"[28, 12, 35, 10751, 14, 878]",5.854446,7/23/04,FALSE,en,98,4.3,95,57000000,28283637,-3.69195E-06
Safe Harbour,30390,"[18, 10749]",2.385251,10/30/07,FALSE,en,3,5.5,103,2500000,0,-1.03193E-05
Down in the Valley,7870,"[18, 10749]",4.712188,5/13/05,FALSE,en,68,6,112,8000000,852872,-1.42939E-05
Executive Power,273046,[53],1.872524,9/25/97,FALSE,en,0,0,90,0,0,-7.65697E-05
The Dollmaker,63092,[18],1.423996,5/13/84,FALSE,en,4,5.1,150,0,0,-3.9018E-06
The Private Navy of Sgt. O'Farrell,106449,"[35, 10752]",1.002542,5/8/68,FALSE,en,0,0,92,0,0,-3.34876E-05
Bait,14805,"[28, 53, 80]",7.990986,9/14/00,FALSE,en,50,6,119,35000000,0,1.60922E-05
Niki and Flo,105558,[18],1.613042,9/24/03,FALSE,ro,4,4.9,95,0,0,-3.17533E-05
Trick or Treat,25438,"[27, 10402]",4.018731,10/24/86,FALSE,en,42,5.5,98,0,6797218,-1.54415E-05
The Robber Bride,60496,"[18, 9648, 53]",1.110554,3/3/07,FALSE,en,1,5,89,0,0,-1.48684E-05
Chronopolis,65504,"[878, 10751, 16]",1.150292,1/1/82,FALSE,fr,4,5.3,52,0,0,-1.44276E-05
Indian Summer,33506,"[35, 18]",2.439557,4/23/93,FALSE,en,17,6.8,97,0,0,1.80922E-05
The Girls' Room,246180,"[35, 18]",1.00275,3/2/00,FALSE,en,0,0,101,0,0,-6.15181E-05
The Apostate,344911,[878],1.086415,1/1/87,FALSE,ru,2,3.5,163,0,0,-2.78588E-05
Mungaru Male,39095,"[10402, 35, 18, 10749]",1.215599,12/15/06,FALSE,kn,6,7.3,143,330000,7800000,-9.68377E-06
Superman Returns,1452,"[12, 14, 28, 878]",10.234001,6/28/06,FALSE,en,1520,5.4,154,270000000,391081192,-1.42129E-05
Public Domain,408498,[99],1.017816,6/11/14,FALSE,pt,0,0,98,0,0,-3.25757E-05
West of Hot Dog,107294,"[35, 37]",1.665794,12/30/24,FALSE,en,4,5.1,30,0,0,-4.04821E-06
The Second Coming of Suzanne,258634,[18],1.180149,10/4/74,FALSE,en,0,0,90,0,0,-2.01891E-05
Memoirs of a Geisha,1904,"[18, 36, 10749]",7.781877,12/6/05,FALSE,en,717,7.3,145,85000000,162242962,-1.18533E-05
Fast Getaway II,74240,"[12, 28, 53]",1.177921,12/21/94,FALSE,en,5,4.7,95,0,0,-3.52384E-05
Tombstone,11969,"[28, 12, 18, 36, 37]",8.732705,12/25/93,FALSE,en,663,7.4,130,25000000,56505065,-1.17648E-05
Revolution,12701,"[12, 18, 36, 10752]",3.935995,12/25/85,FALSE,en,23,5.2,126,28000000,358574,-1.59047E-05
Night Terrors,78247,[27],2.107974,11/9/93,FALSE,en,5,4.6,98,0,0,-8.11167E-07
She's Back,215765,[],1.097481,7/7/89,FALSE,en,0,0,89,0,0,-2.44727E-05
Blanche,156231,"[36, 18]",1.945812,12/31/72,FALSE,fr,9,6.3,92,0,0,-4.93562E-05
Lady in Cement,42630,"[9648, 35, 80, 18]",2.27297,11/19/68,FALSE,en,10,6.6,93,0,0,-7.19505E-06
Devious Beings,275489,[],1.002353,1/1/02,FALSE,en,0,0,0,0,0,-3.20975E-05
Peas at 5:30,2349,[18],2.124064,3/4/04,FALSE,de,8,5.6,107,0,0,-1.1112E-05
Full Moon High,107430,"[27, 35]",1.641136,1/1/81,FALSE,en,6,3.7,93,0,0,5.4507E-06
Hobgoblins,31245,"[27, 28, 35, 53, 878]",2.326959,7/14/88,FALSE,en,20,2.7,92,0,0,-4.04596E-05
Bulandi,137164,[10769],1.328492,1/7/00,FALSE,hi,1,7,175,0,0,-1.7042E-05
Politics,205722,"[35, 10749]",1.013187,2/26/31,FALSE,en,0,0,72,0,0,-3.44458E-06
Dead Letter Office,137612,"[35, 10749, 10769]",1.007547,8/20/98,FALSE,en,0,0,95,0,0,-1.45297E-05
The Color of Love: Jacey's Story,227081,[],1.003693,3/19/00,FALSE,en,0,0,120,0,0,-4.86197E-07
White Men Can't Jump,10158,"[35, 18]",6.495735,3/26/92,FALSE,en,321,6.3,115,0,90753806,-1.31857E-05
The Bourne Ultimatum,2503,"[28, 18, 9648, 53]",13.437615,8/3/07,FALSE,en,3063,7.3,115,70000000,442824138,-6.14025E-06
Three Daring Daughters,128309,"[10402, 10749]",1.219565,2/12/48,FALSE,en,1,7,115,0,0,-7.6352E-06
