Sarafina!,35936,"[18, 10751, 10769, 10402]",1.936259,1992-09-18,False,en,7,5.6,117,0,0,-0.12400000000000001
They All Laughed,31921,"[18, 35, 53, 9648, 10749]",2.769855,1981-01-01,False,en,11,5.5,115,0,0,-0.09691999999999999
Dead Babies,42391,[53],1.827381,2000-09-07,False,en,3,4.3,101,0,0,-0.056133333333333334
The Celestine Prophecy,18524,"[10749, 18, 12]",3.289517,2006-06-01,False,en,16,4.8,99,10000000,615752,0.08764782608695654
Rain in the Mountains,46355,"[35, 18]",1.039187,2007-01-01,False,en,1,4.0,91,0,0,-0.32793333333333335
Summer Heat,215865,[],1.129237,2006-03-08,False,en,1,5.0,0,0,0,-0.05865000000000001
Proud,37694,[18],1.11488,2004-07-02,False,en,3,5.5,87,0,0,0.13597142857142858
Auggie Rose,113213,"[18, 9648, 53]",1.990536,2000-05-14,False,en,4,6.5,109,0,0,0
Sleepwalkers,11428,"[14, 27, 53]",7.090693,1992-04-10,False,en,105,4.9,91,0,30524763,0.0031263157894736906
Mr. Moto Takes a Vacation,59657,"[28, 80, 18, 9648, 53]",1.615168,1939-07-07,False,en,4,6.1,65,0,0,0
Dan in Real Life,7211,"[35, 10749, 18]",7.7517,2007-10-26,False,en,387,6.6,98,25000000,68377859,0.25917894736842106
The Nostril Picker,126793,"[35, 27]",1.149576,1988-01-01,False,en,3,5.3,77,0,0,-0.0024999999999999944
Alice in Wonderland,12092,"[16, 10751, 14]",13.784223,1951-07-03,False,en,1686,7.0,75,3000000,572000000,0
Maybe Logic: The Lives and Ideas of Robert Anton Wilson,33672,[99],1.29885,2003-07-23,False,en,4,6.0,82,0,0,0.9584
Metallica: Cunning Stunts,40504,[10402],1.449051,1998-12-08,False,en,6,6.0,130,0,0,-0.799
Decoy,24623,[28],2.21268,1995-01-01,False,en,2,4.0,98,4000000,0,0
Pit Fighter,35631,"[18, 28, 53]",2.402058,2005-07-06,False,en,4,5.3,83,0,0,0
Reveille with Beverly,100834,"[35, 10402, 10749]",1.514758,1943-02-04,False,en,0,0.0,78,0,0,0
Stuart Little,10137,"[16, 14, 10751, 35]",8.888607,1999-12-17,False,en,1125,5.8,84,133000000,300135367,-0.187075
Impulse,14806,"[9648, 53]",2.913005,2008-04-15,False,en,12,5.1,101,2000000,0,0.3173
The Bubble,15976,"[18, 10749]",3.467256,2006-06-06,False,he,22,7.6,114,0,0,0.4002642857142857
Evil Aliens,10177,"[35, 27, 878]",3.362072,2006-03-10,False,en,43,6.0,93,500000,0,0.4644
The Half Naked Truth,97657,"[35, 10749]",1.291399,1932-12-16,False,en,3,6.8,77,0,0,0
Georgia Rule,13159,"[35, 18, 10749]",6.851257,2007-05-11,False,en,136,5.6,113,20000000,0,-0.08978
Alone in the Dark,12142,"[28, 14, 27, 53]",6.64683,2005-01-28,False,en,179,3.1,96,20000000,10442808,-0.017266666666666666
Bullet Boy,32566,"[28, 80, 18, 10769]",1.464457,2004-09-15,False,en,6,5.2,89,0,0,0
Lucy,240832,"[28, 878]",48.800106,2014-07-14,False,en,6500,6.2,89,40000000,126546825,0.176425
One Magic Christmas,13380,"[10751, 14]",2.77475,1985-11-22,False,en,16,5.7,88,0,0,0.1334
The Fallen Ones,41540,"[28, 27, 53]",2.531295,2005-05-14,False,en,11,3.4,89,0,0,-0.09563999999999999
Promise Me This,8269,"[10749, 18, 35]",3.601851,2007-05-26,False,sr,18,6.5,127,0,0,0.45147777777777776
Where It's At,102491,[18],1.02087,1969-05-07,False,en,0,0.0,106,0,0,0
Within the Rock,133714,"[878, 27]",1.166849,1996-06-08,False,en,2,4.5,88,0,0,0
Brown Sugar,37964,"[35, 10749]",3.033906,2002-10-05,False,en,32,7.0,109,8000000,27362712,0
Hollywood Hotel,43859,"[35, 10402, 10749]",1.094688,1937-12-20,False,en,1,5.0,109,0,0,0
Watching the Detectives,22100,"[35, 10749]",3.223554,2007-05-01,False,en,18,6.5,90,2000000,0,0
The Rogue,225446,[18],1.000489,1971-01-01,False,bs,0,0.0,91,0,0,0
Seven Pounds,11321,[18],7.81375,2008-12-18,False,en,2273,7.5,123,55000000,168167691,-0.2531
Lipstick,59809,"[18, 53]",1.247092,1976-04-02,False,en,5,5.1,89,0,0,-0.003050000000000011
Midnight Offerings,71377,"[27, 10770]",1.217268,1981-02-27,False,en,5,4.6,100,0,0,-0.3144
Amber's Story,107986,"[18, 80]",1.626721,2006-09-04,False,en,3,5.7,85,0,0,0.0017000000000000164
Arthur,13665,"[35, 18, 10749]",7.789407,1981-07-17,False,en,135,6.5,97,7000000,95461682,0
Much Ado About Nothing,11971,"[18, 35, 10749]",9.472666,1993-05-07,False,en,206,7.2,111,8000000,0,-0.03606666666666667
Young Catherine,75522,"[18, 36]",1.422626,1991-01-01,False,en,4,5.0,186,0,0,0
