,Unnamed: 0, revenue,Adult,Genre ID,IMDB ID,Movie,Popularity,Release date,original language,run budget,run time,vote average,vote_count,sentiment_score,NB_sent_score
54,54,72266306,False,"[28, 18, 53]",11951,Vanishing Point,6.67434,1/15/1971,en,1300000,99,7.2,117,0.2767,0.75734
55,55,36850101,False,"[35, 18, 10751, 878]",9849,My Favorite Martian,5.960053,2/11/1999,en,65000000,94,5.1,84,0.041547619,-2.88414
56,56,20710451,False,"[18, 36]",10264,Hamlet,8.931482,12/19/1990,en,0,130,6.7,104,-0.075080357,0.35737199999999997
57,57,5446000,False,"[12, 18]",77221,Black Gold,10.547137,12/21/2011,en,40000000,130,5.9,85,0.0,-0.547277
58,58,242717113,False,"[35, 10751]",14306,Marley & Me,9.975104,12/25/2008,en,60000000,115,6.9,1483,0.0,-1.34962
59,59,12000000,False,"[10402, 35, 10749]",759,Gentlemen Prefer Blondes,6.991105,7/14/1953,en,0,91,7.1,183,0.0,-1.6611
60,60,30411183,False,[35],10591,The Girl Next Door,9.527545,4/9/2004,en,25000000,108,6.3,912,0.0,-0.6001770000000001
61,61,103738726,False,"[12, 28, 35, 53, 80]",8592,Dick Tracy,5.674841,6/15/1990,en,47000000,103,6.0,275,-0.125483333,-2.57048
62,62,60378584,False,"[80, 18]",504,Monster,6.190862,11/16/2003,en,8000000,110,7.0,548,0.003942857,-1.92491
63,63,75597042,False,"[18, 10751]",14635,The Rookie,8.7278,3/25/2002,en,20000000,127,6.5,120,0.589966667,-1.83096
64,64,21300000,False,"[18, 10402, 10749]",16520,The King and I,8.263556,6/29/1956,en,4550000,133,7.3,109,0.328166667,-0.587882
65,65,44785053,False,[18],3116,Midnight Cowboy,9.052681,5/25/1969,en,3600000,113,7.5,333,0.0,-0.15079800000000002
66,66,1752038,False,[35],10078,Magicians,6.355778,5/18/2007,en,0,90,6.2,25,0.0,0.408744
67,67,31720158,False,[18],17332,The Soloist,6.510224,4/24/2009,en,60000000,109,6.6,255,-0.085,-0.48416400000000004
68,68,60641,False,"[18, 35, 53]",2239,Hallam Foe,5.609041,2/16/2007,en,8000000,95,6.8,52,0.0,-0.404077
69,69,89162162,False,"[14, 53, 27]",49730,Red Riding Hood,9.244878,3/11/2011,en,42000000,100,5.7,1043,0.459625,-2.19513
70,70,1893139,False,[18],51321,Permanent Record,2.061315,4/22/1988,en,8000000,91,6.0,11,-0.330333333,-2.40138
71,71,4900000,False,"[18, 10769]",60579,Hey Ram,1.439164,2/18/2000,ta,3900000,199,6.7,10,0.39115,-2.98447
72,72,240239,False,[99],24582,Manufactured Landscapes,2.592172,9/9/2006,en,0,90,7.3,15,0.10806,-1.25207
73,73,80640528,False,"[35, 18, 10749]",2039,Moonstruck,8.996911,12/18/1987,en,0,102,6.7,195,0.29926,2.77719
74,74,850000000,False,"[878, 12, 28]",1895,Star Wars: Episode III - Revenge of the Sith,12.64329,5/17/2005,en,113000000,140,7.1,4522,0.094375,-1.2278200000000001
75,75,251058,False,[35],75386,Haiku Tunnel,1.076985,9/7/2001,en,0,88,7.0,2,-0.089245455,-2.2183
76,76,13818181,False,"[27, 28, 53]",11059,House of the Dead,6.299035,4/11/2003,en,7000000,90,2.8,112,-0.134723333,-3.2427599999999996
77,77,20085825,False,"[35, 18, 10749]",9688,Melinda and Melinda,6.433094,10/29/2004,en,0,100,6.3,135,-0.014072222,-1.6632
78,78,14859394,False,[18],26149,Music of the Heart,4.008531,10/29/1999,en,27000000,124,6.3,52,0.0,-3.0117700000000003
79,79,10400000,False,"[12, 18]",10339,Moby Dick,5.626089,6/27/1956,en,4500000,116,6.8,100,0.0,-0.758725
80,80,261603,False,"[35, 10749]",21118,Waking Up in Reno,4.35156,12/13/2002,en,0,91,5.1,24,0.18122,-2.9427
81,81,29385320,False,"[18, 10749]",4251,Veer-Zaara,5.00822,11/12/2004,hi,7000000,192,7.5,72,0.0,-2.0148
82,82,266665,False,[18],11489,Rosetta,4.43268,5/23/1999,fr,0,95,7.2,56,0.160133333,-4.5166
83,83,136400000,False,"[18, 10749]",9062,Love Story,11.560056,12/16/1970,en,2200000,99,6.6,127,0.053216667,-0.890302
84,84,738599701,False,"[12, 28, 53, 878]",604,The Matrix Reloaded,20.218433,5/15/2003,en,150000000,138,6.7,3725,0.126946154,-1.95005
85,85,77516304,False,"[35, 10749]",9778,Serendipity,9.439279,10/5/2001,en,28000000,90,6.7,571,0.3285,-0.47378000000000003
86,86,183345589,False,"[12, 10751, 14]",267935,The BFG,28.01442,6/1/2016,en,140000000,120,6.1,1112,0.0,-0.566742
87,87,27500000,False,[35],16406,Dick,6.183602,8/4/1999,en,13000000,94,5.7,68,0.0,-0.539797
88,88,1296184,False,"[28, 12, 35, 53]",13191,"War, Inc.",6.592585,4/28/2008,en,5000000,106,5.6,89,-0.1978,-1.71702
89,89,190213455,False,"[28, 878, 53]",9383,Hollow Man,9.739024,8/4/2000,en,95000000,112,5.6,694,0.161633333,-0.37149699999999997
90,90,50012507,False,"[18, 10749]",9560,A Walk in the Clouds,7.014401,8/11/1995,en,20000000,103,6.6,181,0.0,-1.12932
91,91,635096,False,"[18, 10752, 10749, 37]",22267,Ride with the Devil,5.713073,11/24/1999,en,38000000,138,6.6,51,0.128957143,-1.1811200000000002
92,92,78000000,False,"[28, 35]",16214,Hooper,3.35336,7/28/1978,en,0,107,6.1,36,-0.35255,-2.50375
93,93,295206,False,[35],2171,Wet Hot American Summer,6.668558,7/27/2001,en,5000000,97,6.4,281,0.0,-3.49191
94,94,102356381,False,"[14, 27, 28]",924,Dawn of the Dead,9.147155,3/19/2004,en,28000000,101,6.8,1128,-0.05745,-3.2122599999999997
95,95,3569939,False,"[14, 12, 10751]",19051,The New Adventures of Pippi Longstocking,3.61177,7/6/1988,en,5000000,100,5.8,18,-0.156225,-3.20813
96,96,13418091,False,[53],44326,Extremities,2.934475,8/22/1986,en,0,89,6.0,13,0.427407692,2.39607
97,97,34872033,False,"[27, 53, 35]",11284,Freddy's Dead: The Final Nightmare,10.483103,9/5/1991,en,11000000,89,5.1,304,-0.087636364,0.182542
98,98,82176340,False,"[28, 12, 14]",297762,Wonder Woman,305.721742,5/30/2017,en,149000000,141,7.2,6273,0.0,-1.7057900000000001
99,99,92380927,False,[35],15373,Role Models,8.985356,11/7/2008,en,28000000,99,6.4,597,-0.07106,-1.20207
100,100,15445131,False,[18],38718,Reversal of Fortune,4.050676,10/5/1990,en,0,111,6.6,62,-0.21305,-1.38059
101,101,2275557,False,"[28, 53]",13154,Showdown in Little Tokyo,7.279503,8/23/1991,en,8000000,79,5.7,104,0.094983333,-1.44814
102,102,48027970,False,[18],1523,The Last King of Scotland,8.556531,9/1/2006,en,6000000,121,7.4,603,0.0,-0.49486199999999997
103,103,41590886,False,"[18, 28, 80]",9400,Set It Off,4.727594,11/6/1996,en,9000000,118,6.9,69,0.125225,-1.84502
104,104,47175038,False,"[35, 10749]",6961,The Wedding Date,8.084758,2/4/2005,en,15000000,88,6.2,259,0.0,-0.9198040000000001
105,105,46471023,False,"[12, 16, 35, 10751]",10315,Fantastic Mr. Fox,8.623031,10/23/2009,en,40000000,87,7.5,1289,0.0,-1.47895
106,106,10400000,False,"[12, 18]",10339,Moby Dick,5.626089,6/27/1956,en,4500000,116,6.8,100,0.0,-0.758725
107,107,122563539,False,"[37, 16, 12, 35, 10751]",9023,Spirit: Stallion of the Cimarron,8.967454,5/24/2002,en,80000000,83,7.4,981,0.178859091,1.85455
108,108,325233863,False,"[16, 18]",17979,A Christmas Carol,13.718141,11/4/2009,en,200000000,96,6.6,1259,0.103106,0.421034
109,109,352114312,False,"[18, 80]",640,Catch Me If You Can,12.868387,12/25/2002,en,52000000,141,7.7,4220,0.315266667,-1.5704200000000001
110,110,10000000,False,[99],8357,What the #$*! Do We (K)now!?,5.081999,4/23/2004,en,0,109,5.7,36,-0.086936,-1.8246099999999998
111,111,57138719,False,"[80, 53]",17494,Unlawful Entry,4.836356,6/26/1992,en,23000000,117,5.8,67,0.0,-1.4418
112,112,4000000,False,"[18, 10749, 10769]",33142,Vivah,2.62818,11/10/2006,hi,10,162,6.5,26,-0.42415,-1.06707
113,113,220673217,False,[35],4256,Scary Movie 3,10.994533,10/24/2003,en,48000000,84,5.8,1058,-0.131328571,-2.4005799999999997
114,114,1659542,False,[35],114726,Out on a Limb,2.477641,9/4/1992,en,11000000,82,6.2,13,0.0,-2.65992
115,115,31584901,False,"[35, 9648]",512,Scoop,6.683785,7/27/2006,en,4000000,96,6.4,467,0.176812,1.22336
116,116,589244,False,"[99, 18, 10402]",24348,Powaqqatsi,4.742449,4/29/1988,en,2500000,99,7.5,40,0.0,-1.93173
117,117,50451307,False,"[35, 18, 10749]",11431,Fever Pitch,6.876429,4/6/2005,en,30000000,103,5.8,196,0.48315,-0.467291
118,118,2400000,False,"[27, 53]",29064,The Omega Code,2.252709,10/15/1999,en,0,100,4.4,17,-0.166057895,-3.9177800000000005
119,119,347451894,False,"[12, 28, 53, 9648]",2059,National Treasure,9.481867,11/19/2004,en,100000000,131,6.4,2122,0.059753333,-2.0367599999999997
120,120,29657751,False,"[80, 53, 9648]",70436,The Raven,7.067215,3/9/2012,en,26000000,111,6.1,455,0.9851,-0.356716
121,121,52223306,False,"[27, 53]",9357,One Hour Photo,7.172717,8/21/2002,en,12000000,96,6.6,480,0.0,-1.91514
122,122,37803872,False,"[18, 10749]",11557,St. Elmo's Fire,6.768464,6/20/1985,en,0,110,6.0,144,0.205655556,-1.84212
123,123,183611771,False,"[35, 10751]",10481,102 Dalmatians,7.087468,10/7/2000,en,85000000,100,5.1,352,-0.123906667,-2.09314
124,124,472370,False,[18],266030,Party Girl,2.164918,8/27/2014,fr,0,95,6.9,14,0.27384,2.3117
125,125,49779728,False,"[35, 10749]",34016,She's Out of My League,7.219591,3/11/2010,en,20000000,104,5.9,578,-0.045825,-1.37693
126,126,1000000,False,"[18, 10749]",2998,Zabriskie Point,5.529823,2/9/1970,en,7000000,113,7.1,89,0.113312,1.5197100000000001
127,127,57231524,False,"[18, 35, 10749]",16781,Madea's Family Reunion,6.088449,2/24/2006,en,6000000,110,6.0,78,0.0,-2.15801
128,128,553171,False,"[878, 16]",149,Akira,10.329727,7/16/1988,ja,8000000,124,7.8,877,0.0,-0.676617
129,129,144008,False,"[18, 27]",25853,Dahmer,4.301807,6/21/2002,en,250000,101,5.2,59,-0.264738462,-2.87437
130,130,50041732,False,[27],10307,Stigmata,6.965436,9/10/1999,en,29000000,103,5.9,265,-0.404116667,-1.58254
131,131,3572443,False,[35],9771,Major League: Back to the Minors,2.599883,4/17/1998,en,0,107,4.3,23,-0.348666667,-3.61922
132,132,24464742,False,"[53, 18, 10749]",303,Notorious,10.862401,8/15/1946,en,2000000,102,7.8,374,0.126271429,-1.49045
133,133,18875011,False,"[27, 53, 9648, 14]",11082,The Seventh Sign,6.083786,4/1/1988,en,0,97,5.9,81,0.0,-3.279
134,134,130293714,False,"[28, 18, 53, 80]",9509,Man on Fire,9.562333,4/23/2004,en,70000000,146,7.3,1664,0.0,-0.656643
135,135,153205,False,"[35, 18]",14820,Music Within,3.170794,1/5/2007,en,0,94,6.7,18,-0.4373,-1.2501799999999998
136,136,29133000,False,[18],25188,The Last Picture Show,7.54337,10/2/1971,en,1300000,118,7.7,147,-0.175677778,-1.5907
137,137,138530565,False,"[18, 10752, 28]",792,Platoon,11.764249,12/18/1986,en,6000000,120,7.5,1323,0.0,-0.801304
138,138,97838349,False,"[28, 35, 18]",5375,Fred Claus,7.434961,11/3/2007,en,100000000,116,5.4,232,-0.042407692,-1.6621400000000002
139,139,154937680,False,[18],1125,Dreamgirls,7.427213,12/25/2006,en,70000000,134,6.6,309,0.167436364,-1.44994
140,140,1301121,False,[18],108312,Native Son,1.371219,12/24/1986,en,2000000,111,2.0,2,0.0,-1.50519
141,141,5091888,False,"[28, 80, 53]",23587,Vigilante,5.034868,1/4/1983,en,0,90,7.1,16,0.3257,-1.98977
142,142,30102717,False,"[53, 28, 80, 18]",9594,Double Impact,7.444173,7/31/1991,en,15000000,110,5.3,236,-0.0107,-3.47634
143,143,48428063,False,"[28, 12, 16, 878, 53]",12244,9,9.868553,8/19/2009,en,30000000,79,6.6,1352,0.022266667,-1.83142
144,144,8826094,False,"[28, 878]",10881,Avalon,7.206154,1/20/2001,pl,8000000,107,6.7,100,0.214133333,-5.30265
145,145,1258000,False,"[18, 27, 9648, 53]",72277,The Last Wave,2.811122,1/1/1977,en,810000,106,6.9,40,0.000325,1.35319
146,146,34725000,False,"[27, 9648, 53]",10576,Psycho II,5.931639,6/3/1983,en,5000000,113,6.1,135,0.40475,-0.714013
147,147,43440294,False,[18],293,A River Runs Through It,9.383502,10/9/1992,en,0,123,7.0,261,-0.042542857,-3.15061
148,148,146292009,False,[18],873,The Color Purple,11.680162,12/18/1985,en,15000000,154,7.7,379,-0.2386,-0.182099
149,149,123509,False,"[18, 35]",88641,There Goes My Baby,1.07898,9/2/1994,en,10500000,99,8.5,2,-0.16368,-1.52047
150,150,85313124,False,"[35, 18, 878]",10328,Cocoon,6.901259,6/21/1985,en,0,117,6.5,352,0.0,-0.848232
151,151,1431623,False,[99],12901,No End in Sight,2.840742,7/27/2007,en,2000000,102,7.4,25,-0.16945,-0.880899
152,152,12207,False,"[99, 10752]",50062,The Ground Truth,1.004528,9/15/2006,en,500000,72,0.0,0,0.0,-1.2792
153,153,4857367,False,"[18, 10749]",2266,"Paris, je t'aime",10.090438,5/16/2006,fr,13000000,120,6.8,227,0.159908333,1.23207
154,154,146402,False,[18],54580,Mondays in the Sun,3.372179,9/27/2002,es,4000000,113,7.1,41,0.19314,-1.71059
155,155,5186646,False,"[80, 18, 53]",18588,52 Pick-Up,3.50913,11/7/1986,en,0,110,5.8,24,0.3632,-0.775421
156,156,50236831,False,"[14, 18, 35, 10751]",24795,Angels in the Outfield,6.035827,7/15/1994,en,0,102,5.8,130,0.132455556,3.0178599999999998
157,157,40055439,False,"[27, 53]",329440,The Forest,8.217988,1/7/2016,en,10000000,95,4.8,529,0.244233333,-1.64736
158,158,1300000,False,[37],156566,Red Garters,1.627794,2/9/1954,en,0,91,0.0,0,0.46325,-2.82214
159,159,29000000,False,[35],8970,The Out-of-Towners,4.741464,4/2/1999,en,75000000,90,5.0,48,-0.090191667,-2.4287099999999997
160,160,38755073,False,"[9648, 53, 27]",9708,The Wicker Man,8.553985,9/1/2006,en,40000000,102,4.1,388,0.092373333,-1.7067400000000001
161,161,76578641,False,"[35, 18, 10749]",455,Bend It Like Beckham,6.542885,4/11/2002,en,3500159,112,6.2,650,0.9717,-0.163965
162,162,173306,False,"[10749, 35]",28151,Baptists at Our Barbecue,1.144915,10/8/2004,en,500000,92,4.0,2,-0.020716667,-2.42562
163,163,184376254,False,"[80, 18, 53]",388,Inside Man,8.827844,3/23/2006,en,45000000,129,7.3,1775,0.054,-1.42507
164,164,1323312,False,"[18, 53]",401546,The Dinner,7.700873,5/5/2017,en,0,120,4.2,61,0.0,-2.92551
165,165,1062253,False,"[18, 10749]",59210,The Mother,3.30939,1/1/2003,en,2500000,112,6.3,19,-0.001525,-0.47354799999999997
166,166,400200,False,[18],35227,Foolish Wives,1.683022,1/11/1922,en,1100000,117,6.3,11,0.0,-0.172266
167,167,22000000,False,"[9648, 27, 18]",1842,The Legend of Boggy Creek,2.807997,8/1/1972,en,100000,90,5.6,19,0.0,-0.573984
168,168,73956241,False,[18],10400,The Hurricane,6.97024,9/17/1999,en,50000000,146,7.3,432,-0.041383333,-1.8799299999999999
169,169,16757163,False,"[10402, 18]",3682,54,6.822577,8/28/1998,en,13000000,106,5.5,149,0.024714286,-2.21415
170,170,255000211,False,"[28, 12, 53]",9350,Cliffhanger,9.355405,5/28/1993,en,70000000,112,6.1,647,0.209485,1.72088
171,171,389503,False,"[28, 35, 18, 53]",54022,Search and Destroy,1.46867,1/1/1995,en,4000000,90,6.1,4,0.0,-2.93125
172,172,14225876,False,"[27, 878, 28]",24331,Scanners II: The New Order,2.665752,6/28/1991,en,0,104,4.6,22,0.0,-4.75071
173,173,4100000,False,"[18, 10749]",52778,Until September,2.295451,9/21/1984,en,0,95,6.3,2,0.0,-2.31075
174,174,17297244,False,"[28, 35, 80, 18, 53]",9515,The Matador,6.818872,5/12/2005,en,10000000,96,6.2,145,0.2004,2.0361700000000003
175,175,68392977,False,"[18, 10402, 10749]",13763,Purple Rain,5.849371,7/27/1984,en,7200000,111,6.7,99,0.135896429,1.7743900000000001
176,176,76514050,False,"[27, 53, 9648]",13788,The Unborn,7.376899,1/9/2009,en,16000000,87,4.9,401,0.0,-2.8268400000000002
177,177,114908830,False,[27],6466,Freddy vs. Jason,16.30388,8/15/2003,en,30000000,97,5.8,678,0.0,-4.17601
178,178,57469467,False,"[18, 27]",8913,Pet Sematary,8.132245,4/21/1989,en,11500000,103,6.4,445,-0.141785714,-1.36161
179,179,203388341,False,"[18, 9648, 10749, 878, 53]",1903,Vanilla Sky,7.073076,12/10/2001,en,68000000,136,6.5,1182,0.0,-0.9510620000000001
180,180,391410,False,"[28, 12, 18, 27, 53]",15749,While She Was Out,5.158581,10/27/2008,en,6000000,108,4.8,38,-0.042037037,-2.62203
181,181,25005257,False,"[80, 18, 53]",7972,Before the Devil Knows You're Dead,7.601975,9/26/2007,en,18000000,117,6.9,397,0.244460714,1.2911299999999999
182,182,18626419,False,"[18, 9648, 53]",9566,The Fan,7.148061,8/15/1996,en,55000000,116,5.7,221,0.2167125,-2.38727
183,183,33082548,False,"[10751, 28, 12]",17043,The Crocodile Hunter: Collision Course,3.768994,7/26/2002,en,0,90,5.4,37,0.013536364,-2.71838
184,184,426224,False,"[10749, 35, 18, 27]",10288,Fido,6.274175,9/7/2006,en,8000000,91,6.6,143,0.148333333,1.13269
185,185,101702060,False,"[28, 878, 12, 35, 10751]",88751,Journey to the Center of the Earth,17.414348,7/10/2008,en,45000000,93,5.8,1461,0.6431,-5.34066
186,186,45916769,False,"[18, 80, 53]",11975,The Rainmaker,6.813961,11/18/1997,en,40000000,135,6.7,258,-0.4165,-0.771184
187,187,543514353,False,"[10749, 14, 10751, 18]",150689,Cinderella,17.853442,3/12/2015,en,95000000,105,6.7,2580,0.0,-0.24977
188,188,127067,False,"[99, 10402]",1843,Dig!,2.371056,5/14/2004,en,0,107,7.2,20,0.0,-0.472358
189,189,6585516,False,"[28, 12, 18, 36]",10544,Ned Kelly,6.985726,3/22/2003,en,0,110,6.1,123,-0.003708333,-1.30898
190,190,1750301,False,"[18, 14]",5048,Prospero's Books,2.686087,9/5/1991,en,0,120,6.5,30,-0.050242857,-2.7460000000000004
191,191,354704,False,"[80, 18, 27, 53]",48309,Prison,2.590663,3/4/1988,en,1300000,102,6.7,27,0.012091667,1.2650299999999999
192,192,14796236,False,"[80, 27]",8617,Prom Night,6.096935,4/10/2008,en,0,88,4.8,179,-0.05649,-1.9073
193,193,135000000,False,"[18, 10749]",4584,Sense and Sensibility,6.59583,12/13/1995,en,16500000,136,7.2,388,-0.7773,0.420358
194,194,676525,False,[18],34615,"Cry, the Beloved Country",2.33561,12/15/1995,en,0,106,6.7,13,0.0,-7.50807
195,195,480811,False,"[80, 18]",9517,Bully,6.315463,6/15/2001,en,0,113,6.7,133,0.0,-1.53906
196,196,3251794,False,"[80, 18, 53, 9648]",994,Straw Dogs,7.203698,12/29/1971,en,2200000,118,7.2,248,0.9025,-0.923818
197,197,181001478,False,"[53, 80, 18]",4147,Road to Perdition,8.393301,7/12/2002,en,80000000,117,7.3,1177,0.149162963,1.96777
198,198,760883,False,"[16, 14, 878]",15035,Fire and Ice,5.788546,3/25/1983,en,1200000,81,6.4,40,0.329444444,1.39599
199,199,1702433,False,"[35, 18]",321751,A Perfect Day,9.545707,8/28/2015,en,0,106,6.6,204,0.0,-3.3553699999999997
200,200,56681566,False,"[28, 14]",9947,Elektra,9.25167,1/13/2005,en,43000000,97,4.8,642,0.3026,-1.18545
201,201,113916474,False,"[35, 18, 10402, 10749]",6282,Coyote Ugly,7.372124,7/30/2000,en,45000000,100,5.9,634,0.009390909,-2.88404
